Code,JavaDoc,Package
"@Nonnull
        public Modal build()
        {
            Checks.check(!components.isEmpty(), ""Cannot make a modal without components!"");
            Checks.check(components.size() <= MAX_COMPONENTS, ""Cannot make a modal with more than 5 components!"");

            return new ModalImpl(id, title, components);
        }","/**
         * Builds and returns the {@link Modal}
         *
         * @throws IllegalArgumentException
         *         <ul>
         *             <li>If no components are added</li>
         *             <li>If more than {@value MAX_COMPONENTS} component layouts are added</li>
         *         </ul>
         *
         * @return A Modal
         */",net.dv8tion.jda.api.interactions.modals
"public static Snowflake of(final Instant timestamp) {
        return of((timestamp.toEpochMilli() - DISCORD_EPOCH) << 22);
    }","/**
     * Constructs a {@code Snowflake} utilizing a timestamp. The constructed {@code Snowflake} is only guaranteed to
     * contain accurate information about its {@link #getTimestamp() timestamp}; the other portions are undefined.
     *
     * @param timestamp The timestamp to construct a {@code Snowflake}. Must be non-null.
     * @return A constructed {@code Snowflake} with the timestamp.
     */",discord4j.common.util
boolean isMentionRepliedUser();,"/**
     * Whether this message would mention a user, if it is sent as a reply.
     *
     * @return True, if this would mention with the reply
     */",net.dv8tion.jda.api.utils.messages
"public UnknownChannel(final GatewayDiscordClient gateway, final ChannelData data) {
        super(gateway, data);
    }","/**
     * Constructs an {@code UnknownChannel} with an associated {@link GatewayDiscordClient} and Discord data.
     *
     * @param gateway The {@link GatewayDiscordClient} associated to this object, must be non-null.
     * @param data The raw data as represented by Discord, must be non-null.
     */",discord4j.core.object.entity.channel
"public int getTypeRaw()
    {
        return rawType;
    }","/**
     * The raw type value used to derive {@link #getType()}.
     * <br>This can be used when a new action type is not yet supported by JDA.
     *
     * @return The raw type value
     */",net.dv8tion.jda.api.audit
"public LegacyMessageEditSpec removeEmbeds() {
        this.embeds = Possible.of(Optional.empty());
        return this;
    }","/**
     * Removes all of the embeds on the message.
     *
     * @return This spec.
     */",discord4j.core.spec.legacy
"@Nullable
    public ThreadMember getThreadMember()
    {
        return threadMember;
    }","/**
     * The {@link ThreadMember} of the event that has been fired.
     *
     * @return The {@link ThreadMember} of the event that has been fired.
     */",net.dv8tion.jda.api.events.thread.member
"@Nullable
        @Override
        public synchronized T provide(int shardId)
        {
            return pool;
        }","/**
         * Provides the initialized pool or the temporary pool if not initialized yet.
         *
         * @param  shardId
         *         The current shard id
         *
         * @return The thread pool instance
         */",net.dv8tion.jda.api.sharding
"@Override
	public Credential findByUsername(final String username) {
		return this.rep.findByUsername(username).orElseThrow(() -> new UsernameNotFoundException(""###### NO Credential object FOUND with username: "" + username + "" ! ######""));
	}","/**
	 * @param username
	 * @return a userCredential instance
	 */",com.pfa.app.service.impl
"@Nullable
    public OffsetDateTime getOldEndTime()
    {
        return getOldValue();
    }","/**
     * The old {@link ScheduledEvent#getEndTime() end time}.
     *
     * @return The old end time, or {@code null} if no end time was previously set.
     */",net.dv8tion.jda.api.events.guild.scheduledevent.update
